Project,Issue_id,Comment id,Jira URL,Label,Theme (Code),Theme (Coder 2),Theme (Coder 3)
YARN,YARN-2890,14482401,https://issues.apache.org/jira/browse/YARN-2890,1,External Interference,External Interference,External Interference
YARN,YARN-3721,14560305,https://issues.apache.org/jira/browse/YARN-3721,1,External Interference,External Interference,External Interference
YARN,YARN-4384,15022840,https://issues.apache.org/jira/browse/YARN-4384,1,External Interference,External Interference,External Interference
YARN,YARN-4546,15084475,https://issues.apache.org/jira/browse/YARN-4546,1,External Interference,External Interference,External Interference
YARN,YARN-4718,15168544,https://issues.apache.org/jira/browse/YARN-4718,1,External Interference,External Interference,External Interference
YARN,YARN-7,13785988,https://issues.apache.org/jira/browse/YARN-7,1,External Interference,External Interference,External Interference
YARN,YARN-8838,16693657,https://issues.apache.org/jira/browse/YARN-8838,1,External Interference,Unrelated Tests,Configuration-related Issues
YARN,YARN-9116,16745719,https://issues.apache.org/jira/browse/YARN-9116,1,External Interference,Non-reproducible,External Interference
HIVE,HIVE-21307,16775758,https://issues.apache.org/jira/browse/HIVE-21307,1,Unknown,Unknown,Unknown
HADOOP,HADOOP-882,12471495,https://issues.apache.org/jira/browse/HADOOP-882,1,External Interference,External Interference,External Interference
HBASE,HBASE-18624,16221430,https://issues.apache.org/jira/browse/HBASE-18624,1,External Interference,Unknown,External Interference
HDFS,HDFS-14564,16933003,https://issues.apache.org/jira/browse/HDFS-14564,1,External Interference,External Interference,External Interference
HDFS,HDFS-1835,13021458,https://issues.apache.org/jira/browse/HDFS-1835,1,External Interference,External Interference,External Interference
HDFS,HDFS-9926,15188561,https://issues.apache.org/jira/browse/HDFS-9926,1,External Interference,External Interference,External Interference
HIVE,HIVE-15740,15842753,https://issues.apache.org/jira/browse/HIVE-15740,1,External Interference,External Interference,Environment Impact
HIVE,HIVE-4256,13848433,https://issues.apache.org/jira/browse/HIVE-4256,1,External Interference,External Interference,Unrelated Tests
HBASE,HBASE-14106,14630332,https://issues.apache.org/jira/browse/HBASE-14106,1,External Interference,Environment Impact,External Interference
HBASE,HBASE-18197,16045701,https://issues.apache.org/jira/browse/HBASE-18197,1,External Interference,External Interference,Unknown
HDFS,HDFS-12778,16256452,https://issues.apache.org/jira/browse/HDFS-12778,1,External Interference,External Interference,External Interference
HIVE,HIVE-16487,15989775,https://issues.apache.org/jira/browse/HIVE-16487,1,External Interference,External Interference,Unknown
HBASE,HBASE-18232,16215741,https://issues.apache.org/jira/browse/HBASE-18232,1,Unknown,External Interference,Unknown
HDDS,HDDS-1667,16863519,https://issues.apache.org/jira/browse/HDDS-1667,1,Unknown,Unknown,Non-reproducible
HADOOP,HADOOP-12709,15313202,https://issues.apache.org/jira/browse/HADOOP-12709,1,Unrelated Tests,Unrelated Tests,Unrelated Tests
HADOOP,HADOOP-13792,15634590,https://issues.apache.org/jira/browse/HADOOP-13792,1,Unrelated Tests,Unrelated Tests,Unrelated Tests
HADOOP,HADOOP-5213,12672846,https://issues.apache.org/jira/browse/HADOOP-5213,1,Unrelated Tests,Unrelated Tests,Unrelated Tests
HADOOP,HADOOP-8325,13264335,https://issues.apache.org/jira/browse/HADOOP-8325,1,Unrelated Tests,Unrelated Tests,Unrelated Tests
HADOOP,HADOOP-9649,13684610,https://issues.apache.org/jira/browse/HADOOP-9649,1,Unrelated Tests,Unrelated Tests,Non-reproducible
