dropout,f1,recall,model,iteration
4,0.8571428571428571,0.75,PULearning,42
4,0.4,0.25,RandomForest,0
4,0.8571428571428571,0.75,PULearning,43
4,0.4,0.25,RandomForest,5
4,0.8571428571428571,0.75,PULearning,44
4,0.6666666666666666,0.5,RandomForest,0
4,1.0,1.0,PULearning,45
4,0.6666666666666666,0.5,RandomForest,1
4,1.0,1.0,PULearning,46
4,0.6666666666666666,0.5,RandomForest,0
4,1.0,1.0,PULearning,47
4,0.4,0.25,RandomForest,0
4,1.0,1.0,PULearning,48
4,0.6666666666666666,0.5,RandomForest,2
4,1.0,1.0,PULearning,49
4,0.6666666666666666,0.5,RandomForest,5
4,0.8571428571428571,0.75,PULearning,50
4,0.6666666666666666,0.5,RandomForest,1
4,0.8571428571428571,0.75,PULearning,51
4,0.4,0.25,RandomForest,1
4,1.0,1.0,PULearning,52
4,0.6666666666666666,0.5,RandomForest,0
4,1.0,1.0,PULearning,53
4,0.6666666666666666,0.5,RandomForest,0
4,1.0,1.0,PULearning,54
4,0.6666666666666666,0.5,RandomForest,0
4,1.0,1.0,PULearning,55
4,0.4,0.25,RandomForest,1
4,0.8571428571428571,0.75,PULearning,56
4,0.6666666666666666,0.5,RandomForest,0
4,0.8571428571428571,0.75,PULearning,57
4,0.6666666666666666,0.5,RandomForest,0
4,1.0,1.0,PULearning,58
4,0.6666666666666666,0.5,RandomForest,0
4,0.8571428571428571,0.75,PULearning,59
4,0.6666666666666666,0.5,RandomForest,1
4,0.8571428571428571,0.75,PULearning,60
4,0.4,0.25,RandomForest,0
4,0.8571428571428571,0.75,PULearning,61
4,0.4,0.25,RandomForest,0
4,1.0,1.0,PULearning,62
4,0.6666666666666666,0.5,RandomForest,1
4,0.8571428571428571,0.75,PULearning,63
4,0.6666666666666666,0.5,RandomForest,1
4,1.0,1.0,PULearning,64
4,0.6666666666666666,0.5,RandomForest,0
4,1.0,1.0,PULearning,65
4,0.4,0.25,RandomForest,5
4,1.0,1.0,PULearning,66
4,0.6666666666666666,0.5,RandomForest,1
4,0.8571428571428571,0.75,PULearning,67
4,0.6666666666666666,0.5,RandomForest,1
4,1.0,1.0,PULearning,68
4,0.4,0.25,RandomForest,1
4,0.8571428571428571,0.75,PULearning,69
4,0.4,0.25,RandomForest,1
4,0.8571428571428571,0.75,PULearning,70
4,0.0,0.0,RandomForest,0
4,0.8571428571428571,0.75,PULearning,71
